941,821,663
A264201,974,573
A420662,776,996
A160490,1035,478
A349163,1153,234
A164756,1085,381
951,950,645
782,658,987
A456442,896,771
A349124,800,947
A183190,804,937
809,651,926
1156,1155,229
A203907,970,605
A299033,1063,416
A235279,1254,19
A406327,903,746
832,833,
A330779,919,711
A187272,800,948
736,732,1095
781,774,990
828,829,1259
A243265,671,1152
A64091,915,724
A269084,1198,141
A297246,802,941
A164757,1084,379
1218,1217,107
1193,1192,153
A373153,1047,449
872,871,816
A228908,825,699
1106,1068,329
1146,1145,249
988,987,568
A211110,1041,462
A211586,736,1089
A391165,1153,233
665,664,1228
A364106,692,1194
A272947,958,628
865,866,
A7159,865,827
1184,1175,170
1207,1206,124
A160488,751,1058
A205914,713,1139
904,903,751
930,929,692
649,648,1244
A314225,1147,242
689,685,1200
A167555,1183,173
886,885,783
A267747,1101,332
648,817,1247
642,643,1253
1116,1115,313
A5671,880,794
A66692,1006,533
A10090,859,849
A265311,938,670
A243275,946,651
1028,1027,489
A243273,936,678
A370438,1234,67
A13616,841,845
1098,1072,349
1059,1058,432
727,726,1108
A203123,1062,418
A226185,1057,428
A167542,1178,175
939,938,673
A420246,1002,543
A214092,702,1163
913,912,730
811,810,924
A##species_taxonomy_id,824,698
819,820,1250
1177,1176,186
1189,1186,162
776,775,1002
1127,1126,290
894,893,775
858,857,854
A296591,780,993
A411154,1173,192
A198804,942,660
A257313,783,982
954,953,642
801,794,946
A223283,752,1051
A370551,1034,482
A272631,1069,330
985,984,571
971,967,601
830,831,
754,662,1047
847,846,877
A74546,1182,177
1101,1071,342
1166,1165,207
704,703,1159
1165,1109,208
1003,992,542
681,680,1212
1054,1053,437
A309807,1155,218
A243090,1156,219
1029,1028,488
A7955,861,833
698,695,1177
A169963,1025,495
A391295,1045,454
A272569,916,726
A262719,934,687
A273063,920,712
780,779,994
A5207,879,798
A412694,999,551
890,889,779
A416870,1059,430
A306537,1102,333
A316057,1139,269
A4924,876,807
922,911,710
841,840,883
A28985,873,809
1044,1043,458
1072,1071,401
A233150,935,676
936,935,679
A381764,1238,58
1086,1083,378
1240,1239,55
701,700,1165
867,835,825
A349161,1235,68
817,818,1248
A167539,1176,171
A391735,782,981
731,730,1104
A289380,1215,112
657,656,1236
768,767,1023
A397945,781,988
1092,1091,370
673,672,1220
A453591,885,734
A216389,1108,324
A246194,1233,66
A322098,940,665
761,659,1030
A246197,1158,223
738,737,1093
1078,1077,395
1243,1242,52
1036,1030,475
1253,1252,33
928,927,694
A205921,1040,461
A316279,1187,163
1196,1195,150
1114,1113,315
A393011,809,914
A203267,973,595
878,877,803
1223,1222,91
A342451,1007,499
A290338,679,1174
A171101,1047,450
A290318,1203,130
733,732,1102
