added Indonesia\Bandar Lampung at -5.45,105.26667 for isolate 2085
added Indonesia\Deli Serdang at 3.483,98.6887 for isolate 2088
added Indonesia\Gunung Kidul at -7.83611,110.59278 for isolate 2089
added Hong Kong\HongKong at 22.28552,114.15769 for isolate 2118
added Indonesia\Karo at 3.0,98.25 for isolate 2148
added Indonesia\Langkat at 3.7181,98.2202 for isolate 2150
added Indonesia\Madiun at -7.6298,111.5239 for isolate 2157
added Indonesia\Medan at 3.58333,98.66667 for isolate 2158
added Indonesia\Padang at -0.94924,100.35427 for isolate 2164
added Indonesia\Palembang at -2.91673,104.7458 for isolate 2167
added Indonesia\Papua at -2.53333,140.7 for isolate 2169
added Indonesia\Pidie at 5.5021,95.8882 for isolate 2173
added Indonesia\Salam at -7.4975,110.29278 for isolate 2177
added Indonesia\Sembawa at -7.27444,109.66139 for isolate 2179
added China\Shantou at 23.36814,116.71479 for isolate 2181
added Indonesia\Siak at 1.26667,102.13333 for isolate 2182
added China\Yunnan at 25.0,102.0 for isolate 2203
added Russia\Chita at 52.03333,113.55 for isolate 2263
added China\Chongqing-Yuzhong at 29.58959,106.51771 for isolate 2267
added China\Chongqing at 29.56278,106.55278 for isolate 2268
added South Korea\Chonnam at 37.17,128.6572 for isolate 2274
error at Influenza A virus (A/Christ's Hospital/157/1982(H1N1)),United Kingdom,2278
You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 's Hospital'' at line 1
added New Zealand\Christchurch at -43.53333,172.63333 for isolate 2279
added South Korea\Chungbuk at 35.55292,127.49042 for isolate 2282
added South Korea\Chungnam at 36.27333,128.02522 for isolate 2286
added Hong Kong\HK at 22.28552,114.15769 for isolate 2288
added China\ST at 19.53333,113.0 for isolate 2309
added China\YN at 39.14222,117.17667 for isolate 2319
added Germany\Cologne at 50.93333,6.95 for isolate 2322
added Denmark\Copenhagen at 55.67594,12.56553 for isolate 2378
added Argentina\Cordoba at -31.4,-64.18333 for isolate 2384
added Greece\Crete at 35.15585,24.89502 for isolate 2388
added Russia\Krasnodar at 45.03278,38.97694 for isolate 2392
added South Korea\Daegu at 35.87028,128.59111 for isolate 2423
added South Korea\Daejeon at 36.32139,127.41972 for isolate 2427
added Senegal\Dakar at 14.6937,-17.44406 for isolate 2433
added Australia\Darwin at -12.46113,130.84185 for isolate 2435
added India\Delhi at 28.66667,77.21667 for isolate 2460
added India\Dhule at 20.9,74.78333 for isolate 2538
added China\Dian at 32.97944,114.02944 for isolate 2539
