"EPI_ISL_2747","PB2: EPI42171 / PB1: EPI89846 / PA: EPI89844 / HA: EPI90388, EPI12998 / NP: EPI89839 / NA: EPI89837 / MP: EPI89834 / NS: EPI89841","A/turkey/Italy/4169/99","A / H7N1",,,"Europe / Italy","Turkey","Unknown user","Public Domain Database Import",,,,"4169","1999",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_83693","PB2: EPI293901 / PB1: EPI293902 / PA: EPI293900 / HA: EPI293904 / NP: EPI293897 / NA: EPI293903 / MP: EPI293899 / NS: EPI293898","A/Pigeon/Turkey-Agri/09rs2841-8/2005","A / H5N1",,"E1","Asia / Turkey / Agri Province","Other avian","Alice Fusaro (Istituto Zooprofilattico Sperimentale Delle Venezie)","Istituto Zooprofilattico Sperimentale Delle Venezie",,"Schivo,A.; Valastro,V.; Monne,I.; Coven,F.; Fusaro,A.; Dakman,A.; Akcadag,B.; Salviato,A.; DeBattisti,C.; Capua,I.; Cattoli,G.","Istituto Zooprofilattico Sperimentale Delle Venezie",,"2005-12-10",,"2010-12-03",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"no"
"EPI_ISL_74348","PB2: EPI255440 / PB1: EPI255441 / PA: EPI255442 / HA: EPI255774 / NP: EPI255443 / NA: EPI255775 / MP: EPI255444 / NS: EPI255445","A/crow/Assam/142119/2008","A / H5N1",,,"Asia / India / Assam","Other avian","Initial import","Public Domain Database Import",,"Nagarajan,S.; Jain,R.; Tosh,C.; Venkatesh,G.; Murugkar,H.V.; Dubey,S.C.",,,"2008-12","host=crow, dead bird","2010-05-03",,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,0,,,"DAD",,"yes"
"EPI_ISL_25688","PB2: EPI167950 / PB1: EPI167951 / PA: EPI167952 / HA: EPI167953 / NP: EPI167954 / NA: EPI167955 / MP: EPI167956 / NS: EPI167957","A/long-tailed shrike/Hong Kong/2762/2007","A / H5N1",,,"Asia / Hong Kong (SAR)","Other avian","Unknown user","Public Domain Database Import",,,,"2762","2007",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_23803","PB2: EPI162928 / PB1: EPI162927 / PA: EPI162926 / HA: EPI162921 / NP: EPI162924 / NA: EPI162923 / MP: EPI162922 / NS: EPI162925","A/great crested grebe/Germany/R1406/07","A / H5N1",,"1. egg passage","Europe / Germany","Other avian","Elke Starick (Friedrich-Loeffler-Institut)","Friedrich-Loeffler-Institut","A/great crested grebe/Germany/R1406/07",,,,"2007",,"2010-09-24",,"A/great crested grebe/Germany/R1406/07","Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,"WLD","no"
"EPI_ISL_15633","PB2: EPI135570 / PB1: EPI135572 / PA: EPI135575 / HA: EPI135577 / NP: EPI135579 / NA: EPI135581 / MP: EPI135583 / NS: EPI135586","A/quail/Shantou/3846/2002","A / H5N1",,,"Asia / China","Other avian","Unknown user","Public Domain Database Import",,,,"3846","2002",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_15632","PB2: EPI135551 / PB1: EPI135553 / PA: EPI135556 / HA: EPI135558 / NP: EPI135560 / NA: EPI135562 / MP: EPI135564 / NS: EPI135567","A/quail/Shantou/3071/2002","A / H5N1",,,"Asia / China","Other avian","Unknown user","Public Domain Database Import",,,,"3071","2002",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_15359","PB2: EPI133599 / PB1: EPI133601 / PA: EPI133603 / HA: EPI133615 / NP: EPI133605 / NA: EPI133613 / MP: EPI133610 / NS: EPI133607","A/pigeon/Rostov-on-Don/6/2007","A / H5N1",,,"Europe / Russian Federation / Rostov Oblast / Rostov-na-Donu","Other avian","Unknown user","Public Domain Database Import",,,,"6","2007-12-14",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_13240","PB2: EPI164610 / PB1: EPI164622 / PA: EPI164633 / HA: EPI164649 / NP: EPI164654 / NA: EPI164668 / MP: EPI164681 / NS: EPI123459","A/smew/Sweden/V820/06","A / H5N1",,,"Europe / Sweden","Other avian","Unknown user","Public Domain Database Import",,,,"V820","2006-03-17",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_11848","PB2: EPI116276 / PB1: EPI116298 / PA: EPI116316 / HA: EPI116240 / NP: EPI116334 / NA: EPI116262 / MP: EPI116355 / NS: EPI116379","A/tufted duck/Denmark/6540/06","A / H5N1",,,"Europe / Denmark","Other avian","Unknown user","Public Domain Database Import",,,,"6540","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_11254","PB2: EPI110760 / PB1: EPI110830 / PA: EPI110880 / HA: EPI110924 / NP: EPI110972 / NA: EPI111028 / MP: EPI111098 / NS: EPI111170","A/open-billed stork/Nakhonsawan/BBD3616M/05","A / H5N1",,,"Asia / Thailand / Nakhon Sawan","Other avian","Unknown user","Public Domain Database Import",,,,"BBD3616M","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_11248","PB2: EPI110748 / PB1: EPI110812 / PA: EPI110868 / HA: EPI110912 / NP: EPI110960 / NA: EPI111010 / MP: EPI111080 / NS: EPI111152","A/open-billed stork/Nakhonsawan/BBA2811M/05","A / H5N1",,,"Asia / Thailand / Nakhon Sawan","Other avian","Unknown user","Public Domain Database Import",,,,"BBA2811M","2005",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_11233","PB2: EPI110718 / PB1: EPI110767 / PA: EPI110838 / HA: EPI110886 / NP: EPI110930 / NA: EPI110978 / MP: EPI111035 / NS: EPI111107","A/open-billed stork/Bangkok/LBD0511F/04","A / H5N1",,,"Asia / Thailand / Phra Nakhon Si Ayutthaya","Other avian","Unknown user","Public Domain Database Import",,,,"LBD0511F","2004",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_10664","PB2: EPI107433 / PB1: EPI111214 / PA: EPI113026 / HA: EPI107961 / NP: EPI112271 / NA: EPI111969 / MP: EPI111530 / NS: EPI112587","A/little egret/Hong Kong/718/2006","A / H5N1",,,"Asia / China","Other avian","Unknown user","Public Domain Database Import",,,,"718","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_10656","PB2: EPI107417 / PB1: EPI111198 / PA: EPI113010 / HA: EPI107977 / NP: EPI112255 / NA: EPI111953 / MP: EPI111506 / NS: EPI112563","A/house crow/Hong Kong/2648/2006","A / H5N1",,,"Asia / China","Other avian","Unknown user","Public Domain Database Import",,,,"2648","2006",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
"EPI_ISL_4152","PB2: EPI23640 / PB1: EPI23532 / PA: EPI23424 / HA: EPI22755 / NP: EPI23143 / NA: EPI23035 / MP: EPI22873 / NS: EPI23264","A/bird/Thailand/3.1/2004","A / H5N1",,,"Asia / Thailand","Other avian","Unknown user","Public Domain Database Import",,,,"3,1","2004",,,,,"Unknown","Unknown","Unknown","Unknown","Unknown",,,,,,,,,,,,"yes"
